eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%
31,UNILEVER,The Netherlands,Food Producers,1003.0,-0.6,2.0,51324.0,10.5,,  ,0.0,7094.0,8.4,13.8,172,1.8
32,ROYAL DUTCH SHELL,UK,Oil & Gas Producers,995.9,16.8,0.3,354000.0,-0.6,24690.0,23.9,7.0,35378.2,-9.3,10.0,87,-3.3
33,DELPHI,UK,Automobiles & Parts,909.5,0.0,7.7,11762.2,-3.3,534.3,11.9,4.5,1120.2,-10.9,9.5,,  
34,ALSTOM,France,Industrial Engineering,888.0,3.0,4.4,20269.0,1.7,738.0,-9.2,3.6,1231.0,14.6,6.1,86252,0.9
35,SCHLUMBERGER,The Netherlands,"Oil Equipment, Services & Distribution",885.3,8.9,2.8,31945.6,6.6,3558.4,16.9,11.1,5577.5,9.7,17.5,118000,4.4
36,SERVIER,France,Pharmaceuticals & Biotechnology,862.0,14.9,22.0,3925.5,0.9,, , ,285.6,-36.5,7.3,, 
37,SEAGATE TECHNOLOGY,Ireland,Technology Hardware & Equipment,858.7,12.6,7.9,10876.9,-3.9,595.7,23.6,5.5,1584.8,-32.7,14.6,53200,-8.1
38,ZF,Germany,Automobiles & Parts,848.0,12.5,4.9,17366.0,12.0,,  ,0.0,679.0,-20.2,3.9,73867,8.4
39,FRANCE TELECOM,France,Fixed Line Telecommunications,812.0,-0.9,1.9,43515.0,-3.9,6763.0,0.8,15.5,4101.0,-50.1,9.4,170531,-0.8
40,BT,UK,Fixed Line Telecommunications,810.9,-1.9,3.8,21548.3,-4.7,2967.3,-3.8,13.8,3576.0,2.2,16.6,87900,-1.2
41,TOTAL,France,Oil & Gas Producers,805.0,3.7,0.4,182000.0,9.0,19905.0,10.9,10.9,22026.0,-9.0,12.1,97126,1.1
42,FIAT INDUSTRIAL,Italy,Industrial Engineering,796.0,18.1,3.1,25785.0,6.2,1349.0,35.9,5.2,1862.0,16.2,7.2,68257,5.9
